Fuel,2025,2024,2023,2022,RTO Office
CNG ONLY,266,220,74,24,AKLUJ-MH45
DIESEL,8973,6295,5602,6221,AKLUJ-MH45
DIESEL/HYBRID,1,0,0,1,AKLUJ-MH45
ELECTRIC(BOV),207,1264,1029,545,AKLUJ-MH45
ETHANOL,1,0,0,0,AKLUJ-MH45
LPG ONLY,32,17,16,10,AKLUJ-MH45
NOT APPLICABLE,294,62,165,291,AKLUJ-MH45
PETROL,18824,23536,19384,18302,AKLUJ-MH45
PETROL/CNG,1501,1377,939,527,AKLUJ-MH45
PETROL(E20)/CNG,172,0,0,0,AKLUJ-MH45
PETROL(E20)/HYBRID,6,0,0,0,AKLUJ-MH45
PETROL/ETHANOL,4938,462,220,0,AKLUJ-MH45
PETROL/HYBRID,57,99,136,129,AKLUJ-MH45
PETROL/LPG,7,3,4,13,AKLUJ-MH45
PURE EV,2448,726,0,0,AKLUJ-MH45
STRONG HYBRID EV,37,19,0,0,AKLUJ-MH45
CNG ONLY,37,9,1,0,AKOLA_-_MH30
DIESEL,4947,3313,3214,3396,AKOLA_-_MH30
DIESEL/HYBRID,4,1,0,0,AKOLA_-_MH30
ELECTRIC(BOV),598,1888,1793,795,AKOLA_-_MH30
ETHANOL,1,0,0,0,AKOLA_-_MH30
LPG ONLY,195,185,174,134,AKOLA_-_MH30
NOT APPLICABLE,566,483,362,433,AKOLA_-_MH30
PETROL,21123,26386,23506,23213,AKOLA_-_MH30
PETROL/CNG,486,189,49,37,AKOLA_-_MH30
PETROL(E20)/CNG,52,0,0,0,AKOLA_-_MH30
PETROL(E20)/HYBRID,43,0,0,0,AKOLA_-_MH30
PETROL/ETHANOL,7823,535,318,0,AKOLA_-_MH30
PETROL/HYBRID,248,331,304,246,AKOLA_-_MH30
PETROL/LPG,9,1,1,24,AKOLA_-_MH30
PURE EV,2958,1024,0,0,AKOLA_-_MH30
STRONG HYBRID EV,38,24,0,0,AKOLA_-_MH30
CNG ONLY,203,160,38,4,AMBEJOGAI-MH44
